Date,Campaign_ID,Campaign_Name,Campaign_Type,Channel,Age_Group,Gender,Device,Country,Customer_Segment,Impressions,Clicks,CTR,Spend_USD,CPC_USD,Conversions,Conversion_Rate,CPA_USD,Revenue_USD,ROAS
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,35-44,Female,Mobile,United States,Returning Customer,32268,826,0.0256,117.6,0.14,58,0.0702,2.03,9060.17,77.04
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,55-64,Male,Mobile,Canada,Returning Customer,20328,520,0.0256,74.09,0.14,37,0.0712,2.0,3171.12,42.8
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,35-44,Male,Mobile,United States,Returning Customer,7056,181,0.0257,25.72,0.14,13,0.0718,1.98,1627.26,63.27
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,45-54,Male,Mobile,United States,Returning Customer,16863,107,0.0063,154.39,1.44,3,0.028,51.46,429.56,2.78
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,35-44,Male,Desktop,United Kingdom,Returning Customer,18992,121,0.0064,173.89,1.44,3,0.0248,57.96,223.77,1.29
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Female,Desktop,Canada,Returning Customer,16448,105,0.0064,150.59,1.43,3,0.0286,50.2,259.28,1.72
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,55-64,Female,Mobile,Germany,Returning Customer,20878,129,0.0062,82.79,0.64,1,0.0078,82.79,79.38,0.96
2024-01-01,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Male,Desktop,Canada,Returning Customer,38882,240,0.0062,154.17,0.64,2,0.0083,77.08,197.94,1.28
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,45-54,Female,Mobile,United States,Returning Customer,56243,1574,0.028,163.72,0.1,82,0.0521,2.0,6148.92,37.56
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,35-44,Female,Mobile,Canada,New Customer,96704,2706,0.028,281.5,0.1,141,0.0521,2.0,9979.2,35.45
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,35-44,Unknown/Other,Desktop,United States,Returning Customer,22629,419,0.0185,332.76,0.79,12,0.0286,27.73,1066.99,3.21
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,35-44,Male,Mobile,United States,Returning Customer,8131,151,0.0186,119.56,0.79,4,0.0265,29.89,414.07,3.46
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Female,Mobile,United States,New Customer,7643,142,0.0186,112.39,0.79,4,0.0282,28.1,288.99,2.57
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Google Search,45-54,Male,Desktop,Canada,New Customer,2843,84,0.0295,210.85,2.51,4,0.0476,52.71,333.84,1.58
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Google Search,18-24,Male,Desktop,United States,Returning Customer,4089,121,0.0296,303.24,2.51,6,0.0496,50.54,569.32,1.88
2024-01-02,CMP-001,New Year Kickoff Sale,Conversion,Google Search,35-44,Female,Mobile,United States,New Customer,3743,111,0.0297,277.53,2.5,5,0.045,55.51,339.56,1.22
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Female,Desktop,United States,Returning Customer,8583,245,0.0285,59.47,0.24,12,0.049,4.96,1778.31,29.9
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,65+,Male,Mobile,United Kingdom,Returning Customer,7778,222,0.0285,53.89,0.24,11,0.0495,4.9,705.03,13.08
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,45-54,Male,Tablet,Germany,Returning Customer,21550,410,0.019,463.26,1.13,9,0.022,51.47,944.67,2.04
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Female,Desktop,United States,Returning Customer,8887,169,0.019,191.03,1.13,4,0.0237,47.76,439.75,2.3
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,18-24,Female,Desktop,United States,Returning Customer,5092,97,0.019,109.46,1.13,2,0.0206,54.73,214.26,1.96
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,45-54,Male,Mobile,United Kingdom,Returning Customer,1516,15,0.0099,11.17,0.74,0,0.0,0.0,16.5,1.48
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,18-24,Female,Desktop,France,New Customer,3568,35,0.0098,26.28,0.75,0,0.0,0.0,25.22,0.96
2024-01-02,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,65+,Female,Desktop,Australia,Returning Customer,10101,100,0.0099,74.4,0.74,1,0.01,74.4,69.5,0.93
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,25-34,Female,Desktop,Australia,Returning Customer,108262,2791,0.0258,665.41,0.24,181,0.0649,3.68,12532.12,18.83
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,25-34,Female,Tablet,United States,New Customer,81904,2112,0.0258,503.4,0.24,137,0.0649,3.67,15373.55,30.54
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Male,Mobile,United States,Returning Customer,2812,38,0.0135,54.97,1.45,1,0.0263,54.97,101.55,1.85
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,35-44,Female,Desktop,United Kingdom,New Customer,2784,38,0.0136,54.41,1.43,1,0.0263,54.41,72.1,1.33
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,25-34,Male,Mobile,United States,New Customer,7212,98,0.0136,140.95,1.44,3,0.0306,46.98,265.56,1.88
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Google Search,55-64,Female,Mobile,United States,New Customer,1173,39,0.0332,99.33,2.55,1,0.0256,99.33,81.31,0.82
2024-01-03,CMP-001,New Year Kickoff Sale,Conversion,Google Search,18-24,Female,Desktop,Germany,New Customer,2447,81,0.0331,207.27,2.56,2,0.0247,103.64,126.04,0.61
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,35-44,Female,Mobile,United States,Returning Customer,4574,142,0.031,30.45,0.21,7,0.0493,4.35,1033.6,33.94
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Male,Mobile,United States,Returning Customer,11055,344,0.0311,73.59,0.21,18,0.0523,4.09,2127.47,28.91
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Email Marketing,25-34,Female,Mobile,Canada,Returning Customer,6464,201,0.0311,43.03,0.21,10,0.0498,4.3,873.46,20.3
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,35-44,Female,Desktop,United States,Returning Customer,3987,61,0.0153,106.14,1.74,2,0.0328,53.07,106.96,1.01
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Facebook Ads,25-34,Female,Mobile,Canada,New Customer,3144,48,0.0153,83.68,1.74,1,0.0208,83.68,86.06,1.03
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Female,Mobile,United States,Returning Customer,109156,568,0.0052,238.23,0.42,6,0.0106,39.7,455.39,1.91
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,35-44,Female,Desktop,United States,Returning Customer,44716,233,0.0052,97.59,0.42,3,0.0129,32.53,216.26,2.22
2024-01-03,CMP-020,Retargeting - Cart Abandoners,Retention,Google Display,18-24,Female,Mobile,Canada,Returning Customer,107477,559,0.0052,234.56,0.42,6,0.0107,39.09,382.17,1.63
2024-01-04,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,18-24,Female,Desktop,Australia,New Customer,58792,2358,0.0401,380.58,0.16,184,0.078,2.07,15034.22,39.5
2024-01-04,CMP-001,New Year Kickoff Sale,Conversion,Email Marketing,25-34,Male,Mobile,United Kingdom,New Customer,49523,1986,0.0401,320.58,0.16,155,0.078,2.07,8782.21,27.39
2024-01-04,CMP-001,New Year Kickoff Sale,Conversion,Facebook Ads,18-24,Male,Mobile,United Kingdom,New Customer,6046,101,0.0167,139.65,1.38,3,0.0297,46.55,262.68,1.88
